ST ,          AL,          AK,          AZ,          AR,          CA,          CO,          CT,          DE,          FL,          GA,          HI,          ID,          IL,          IN,          IA,          KS,          KY,          LA,          ME,          MD,          MA,          MI,          MN,          MS,          MO,          MT,          NE,          NV,          NH,          NJ,          NM,          NY,          NC,          ND,          OH,          OK,          OR,          PA,          RI,          SC,          SD,          TN,          TX,          UT,          VT,          VA,          WA,          WV,          WI,          WY
POP,000004447100,000000626932,000005130632,000002673400,000033871648,000004301261,000003405565,000000783600,000015982378,000008186453,000001211537,000001293953,000012419293,000006080485,000002926324,000002688418,000004041769,000004468976,000001274923,000005296486,000006349097,000009938444,000004919479,000002844658,000005595211,000000902195,000001711263,000001998257,000001235786,000008414350,000001819046,000018976457,000008049313,000000642200,000011353140,000003450654,000003421399,000012281054,000001048319,000004012012,000000754844,000005689283,000020851820,000002233169,000000608827,000007078515,000005894121,000001808344,000005363675,000000493782
T01,000000179828,000000044608,000000296706,000000481893,000003330868,000000000000,000000000000,000000000000,000000762653,000000048147,000000000000,000000000000,000000054452,000000003739,000000000000,000000048601,000000388727,000000024900,000000030550,000000256027,000000000151,000001702501,000000009411,000000001378,000000018430,000000218883,000000004363,000000092743,000000473711,000000003039,000000034877,000000000000,000000000019,000000002486,000000022615,000000000000,000000000106,000000117436,000000000948,000000012663,000000000000,000000000000,000000000000,000000000000,000000404710,000000034075,000001697689,000000003537,000000087155,000000101396
T09,000001701885,000000000000,000003632686,000001706645,000023457385,000001849305,000003419939,000000000000,000015010888,000004630179,000001536276,000000747134,000006393080,000003579416,000001722836,000001741217,000002171609,000002060822,000000847358,000002498184,000003565267,000007666399,000003723638,000002333384,000002787531,000000000000,000001027940,000001941674,000000000000,000005508046,000001502319,000008563323,000003374566,000000330269,000006263251,000001441670,000000000000,000007057309,000000621066,000002458308,000000487897,000004446160,000014012165,000001423234,000000215423,000002471938,000007739014,000000917050,000003506696,000000368779
T10,000000123164,000000012655,000000050923,000000028845,000000282165,000000027110,000000044886,000000010936,000000575169,000000139830,000000039000,000000005979,000000127868,000000031406,000000012265,000000073487,000000068408,000000054923,000000034308,000000024400,000000063768,000000132648,000000061735,000000039894,000000025339,000000017234,000000017368,000000016390,000000011878,000000078161,000000036748,000000182914,000000192629,000000005431,000000083776,000000060889,000000012707,000000179655,000000009567,000000128848,000000010761,000000075918,000000514804,000000023943,000000014159,000000123448,000000162228,000000008401,000000043956,000000001107
T11,000000000113,000000002335,000000000677,000000000000,000000000000,000000075397,000000319370,000000000000,000000000000,000000000000,000000000000,000000000000,000000488254,000000448236,000000176560,000000000908,000000000221,000000420779,000000000000,000000010212,000000006210,000000053145,000000062496,000000176648,000000182252,000000041406,000000006518,000000708356,000000001850,000000340413,000000019805,000000001537,000000011400,000000013177,000000000000,000000007933,000000000071,000000000575,000000000000,000000037692,000000000021,000000000000,000000022602,000000000000,000000000000,000000000073,000000000009,000000000000,000000000409,000000000000
T12,000000190750,000000029064,000000164732,000000094659,000001299777,000000130837,000000183588,000000053430,000000355677,000000256956,000000070043,000000056460,000000219701,000000163124,000000120212,000000070139,000000226812,000000239283,000000046810,000000172917,000000334635,000000191946,000000171749,000000114535,000000209748,000000042618,000000039190,000000129333,000000054065,000000282264,000000065107,000000659046,000000279204,000000021893,000000358611,000000160930,000000043548,000000439897,000000031338,000000085074,000000039514,000000286584,000000739259,000000082872,000000020401,000000251074,000000261150,000000101004,000000096432,000000012410
T13,000000505360,000000042137,000000592518,000000388625,000003041370,000000544134,000000543022,000000104200,000001608061,000000632103,000000074456,000000208968,000001356283,000000700420,000000346461,000000356236,000000440258,000000549421,000000181263,000000652052,000000652596,000001074816,000000607589,000000418855,000000695591,000000188345,000000279426,000000261995,000000116884,000000506432,000000233176,000000521670,000001066670,000000110546,000001404946,000000402380,000000473947,000000764065,000000130974,000000369976,000000124735,000000788174,000002688818,000000330499,000000060575,000000814999,000000775245,000000239580,000000915694,000000081364
T14,000000003723,000000000000,000000002545,000000006641,000000045563,000000006510,000000011161,000000000225,000000049394,000000000000,000000000000,000000000000,000000023663,000000003772,000000003267,000000004239,000000020738,000000006171,000000004366,000000002070,000000007829,000000013493,000000000933,000000000000,000000000000,000000000125,000000000894,000000000000,000000003658,000000000000,000000000630,000000036369,000000000000,000000000000,000000016582,000000004119,000000001434,000000025510,000000005374,000000000000,000000001470,000000000000,000000011556,000000000000,000000000000,000000000000,000000001955,000000008438,000000003038,000000000233
T15,000000482870,000000003235,000000036563,000000000000,000000218994,000000008072,000000197920,000000027871,000000666180,000000000000,000000119505,000000002767,000001467081,000000005859,000000000000,000000000866,000000000000,000000012299,000000001960,000000153927,000000000000,000000012303,000000000058,000000001195,000000000580,000000020425,000000003167,000000010427,000000057575,000000854176,000000007012,000001605673,000000386551,000000028288,000000642111,000000015462,000000007241,000000678059,000000073011,000000041471,000000002089,000000004546,000000507857,000000000000,000000009714,000000102351,000000290022,000000183266,000000277951,000000001984
T16,000000066431,000000048309,000000162896,000000092856,000001216646,000000067622,000000129028,000000026680,000000442512,000000087004,000000042341,000000028780,000000467350,000000088334,000000096982,000000052898,000000017022,000000089644,000000074933,000000210025,000000279945,000000604672,000000186013,000000056385,000000112006,000000013809,000000046314,000000064675,000000094550,000000399760,000000024242,000000668251,000000042026,000000022826,000000289434,000000074820,000000188726,000000324319,000000059737,000000029685,000000019092,000000082589,000000531780,000000048254,000000025506,000000015332,000000277329,000000032345,000000257896,000000010719
