ST ,          AL,          AK,          AZ,          AR,          CA,          CO,          CT,          DE,          FL,          GA,          HI,          ID,          IL,          IN,          IA,          KS,          KY,          LA,          ME,          MD,          MA,          MI,          MN,          MS,          MO,          MT,          NE,          NV,          NH,          NJ,          NM,          NY,          NC,          ND,          OH,          OK,          OR,          PA,          RI,          SC,          SD,          TN,          TX,          UT,          VT,          VA,          WA,          WV,          WI,          WY
T19,000000154149,000000000000,000000000000,000000044612,000000058297,000000000000,000000205110,000000065996,000000423292,000000000000,000000170291,000000004876,000000316048,000000016122,000000000000,000000003877,000000567159,000000285394,000000000000,000000637794,000000149599,000000035301,000000961016,000000006040,000000018558,000000019949,000000024351,000000021116,000000215041,000000230387,000000117891,000001068296,000000588093,000000122618,000000000000,000000012304,000000000000,000000991007,000000071881,000000089801,000000046810,000000121353,000003184527,000000015289,000000137849,000000572872,000000177319,000000310021,000000003481,000000000000
T20,000000002365,000000001301,000000002381,000000001605,000000034275,000000004275,000000005900,000000000593,000000030488,000000001959,000000000000,000000001201,000000004208,000000007764,000000007976,000000002200,000000004113,000000000000,000000003073,000000000540,000000001282,000000011797,000000000858,000000002038,000000003679,000000001707,000000000260,000000000000,000000003111,000000006250,000000003763,000000022951,000000005468,000000000243,000000024658,000000006051,000000002232,000000014554,000000000009,000000006660,000000000269,000000001956,000000030417,000000000822,000000000435,000000007085,000000008098,000000008747,000000000470,000000000165
T21,000000000000,000000000002,000000000070,000000001789,000000004914,000000001514,000000000150,000000000333,000000008082,000000000000,000000000000,000000000251,000000002201,000000005558,000000005345,000000000204,000000003082,000000000000,000000000860,000000000026,000000000492,000000000000,000000000301,000000001292,000000000982,000000003997,000000000000,000000090633,000000000473,000000055329,000000001214,000000000047,000000000000,000000000246,000000000000,000000005368,000000001696,000000000053,000000000376,000000014205,000000000116,000000000000,000000007870,000000000000,000000000109,000000000047,000000000113,000000000013,000000000453,000000000000
T22,000000179169,000000001639,000000006353,000000009408,000000037355,000000005445,000000013433,000000541112,000000120967,000000039716,000000002788,000000001252,000000143924,000000004663,000000033363,000000027048,000000192560,000000273553,000000003129,000000013278,000000022951,000000012938,000000004273,000000068019,000000089722,000000001196,000000006304,000000022859,000000004214,000000151046,000000002303,000000066534,000000158393,000000000000,000000353002,000000043102,000000006460,000000990325,000000013391,000000041649,000000002032,000000494089,000002098910,000000001328,000000001190,000000030087,000000014306,000000007675,000000095363,000000006385
T23,000000014298,000000019004,000000015864,000000019665,000000074553,000000053095,000000003054,000000001933,000000014064,000000023519,000000000334,000000027095,000000027997,000000013427,000000018016,000000015833,000000018156,000000021933,000000011398,000000011368,000000005991,000000047507,000000054006,000000010989,000000028653,000000030151,000000012445,000000006374,000000006465,000000012314,000000016633,000000031966,000000014810,000000003702,000000029936,000000014211,000000028443,000000052058,000000001643,000000014205,000000014904,000000025329,000000063468,000000022619,000000005614,000000019770,000000029465,000000016390,000000062407,000000023056
T24,000000191195,000000035568,000000152555,000000117647,000001763623,000000174589,000000232599,000000032744,000000927038,000000235488,000000076661,000000108365,000001020338,000000159782,000000335732,000000143620,000000191534,000000110023,000000068389,000000179014,000000227704,000000816160,000000642467,000000112602,000000240552,000000055065,000000084390,000000113713,000000064702,000000352992,000000142405,000000632632,000000392182,000000043626,000000607600,000000633002,000000366177,000000791409,000000051450,000000107953,000000039315,000000235560,000000925337,000000080038,000000035318,000000309723,000000295288,000000087740,000000303691,000000052086
T25,000000015824,000000000000,000000014958,000000015501,000000153359,000000015541,000000029009,000000000440,000000112706,000000033277,000000000544,000000006626,000000066842,000000000000,000000014275,000000013335,000000010796,000000007594,000000010074,000000017540,000000060233,000000046876,000000031008,000000022446,000000017694,000000003959,000000008440,000000012220,000000008611,000000030644,000000009178,000000077400,000000059540,000000003618,000000038615,000000012007,000000020323,000000056644,000000000388,000000015624,000000002008,000000038675,000000117896,000000008063,000000003965,000000029681,000000028974,000000004462,000000035616,000000002753
T27,000000009250,000000000317,000000000000,000000010806,000000072231,000000000000,000000001184,000000004415,000000028445,000000000000,000000008621,000000028757,000000000000,000000000000,000000005555,000000003413,000000006902,000000003671,000000000000,000000000000,000000000000,000000015932,000000000000,000000007409,000000021432,000000000011,000000000000,000000000000,000000004883,000000001799,000000000064,000000032591,000000000000,000000000004,000000001808,000000000004,000000006664,000000046217,000000000000,000000000000,000000000000,000000006039,000000016861,000000000000,000000000000,000000000000,000000014721,000000018956,000000000000,000000000000
T28,000000129486,000000033704,000000057910,000000077322,000001538293,000000045183,000000075188,000000180462,000000253371,000000064193,000000020913,000000040774,000000300591,000000052805,000000070379,000000028857,000000107345,000000073354,000000035893,000000155360,000000075221,000000212752,000000224008,000000053311,000000154278,000000025156,000000059327,000000112789,000000049089,000000176183,000000029597,000000106116,000000109318,000000035741,000000497881,000000115391,000000168664,000000309110,000000022879,000000110592,000000052787,000000093671,000000525530,000000022448,000000018793,000000112362,000000183445,000000030018,000000161381,000000003767
T29,000000000058,000000000126,000000010097,000000005638,000000012035,000000000467,000000004685,000000015045,000000009829,000000068833,000000001056,000000002226,000000004607,000000001324,000000001934,000000002279,000000002801,000000000000,000000001561,000000002064,000000056829,000000044375,000000020085,000000000697,000000018617,000000001916,000000018549,000000003890,000000001018,000000003390,000000000603,000000000000,000000002939,000000000000,000000005294,000000000267,000000004367,000000012969,000000000632,000000064274,000000007017,000000003190,000000026532,000000002793,000000002899,000000005010,000000033544,000000000259,000000009379,000000000974
T40,000002071433,000000000000,000002291883,000001470012,000039574649,000003636920,000003973621,000000733399,000000000000,000006364586,000001064317,000000965428,000007637115,000003753339,000001890427,000001861610,000002701616,000001582260,000001076913,000004613203,000009041936,000007190407,000005547326,000001006662,000003550284,000000516261,000001173918,000000000000,000000065975,000007205260,000000880859,000023194281,000007209670,000000198621,000008241227,000002134506,000004097427,000006770513,000000828983,000002445559,000000000000,000000180278,000000000000,000001651448,000000432002,000006828901,000000000000,000000965721,000005952301,000000000000
T41,000000243099,000000438438,000000523182,000000236969,000006638762,000000334980,000000426617,000000240319,000001182796,000000712421,000000075271,000000125860,000002261293,000000924623,000000214605,000000272432,000000306450,000000222008,000000150046,000000431109,000001306353,000002382496,000000803357,000000227716,000000265467,000000099772,000000140022,000000000000,000000312176,000001347336,000000159338,000002771556,000001197162,000000078221,000000630607,000000194145,000000407084,000001696845,000000074825,000000227161,000000045123,000000613924,000000000000,000000173799,000000044430,000000565909,000000000000,000000217793,000000578120,000000000000
T50,000000066763,000000002455,000000085238,000000023821,000000928148,000000061873,000000237608,000000041124,000000739490,000000148255,000000022874,000000011083,000000348009,000000140173,000000099487,000000062888,000000074490,000000095577,000000058804,000000156976,000000166511,000000185528,000000082516,000000021960,000000129872,000000019039,000000019022,000000076002,000000061146,000000485948,000000016087,000001054669,000000188412,000000006077,000000155103,000000087510,000000043907,000000801164,000000034207,000000043085,000000028429,000000092449,000000278486,000000064559,000000013550,000000150120,000000082573,000000021103,000000133261,000000050779
T51,000000026487,000000000000,000000000000,000000016861,000000000000,000000000000,000000114170,000000048507,000001439564,000000000294,000000009452,000000000000,000000057654,000000000000,000000009717,000000000000,000000003335,000000000000,000000019392,000000118027,000000127371,000000257093,000000141397,000000000000,000000000000,000000000000,000000007181,000000003251,000000085010,000000116435,000000000000,000000438019,000000034397,000000000000,000000000000,000000009043,000000025552,000000321616,000000002167,000000036906,000000000142,000000119936,000000000000,000000000000,000000020831,000000145610,000000433810,000000006508,000000045293,000000000000
T53,000000080738,000000708390,000000000000,000000014558,000000024697,000000031948,000000000000,000000000000,000000056597,000000000000,000000000000,000000003369,000000000240,000000000467,000000000000,000000062048,000000170476,000000378773,000000000000,000000000000,000000000000,000000045140,000000002292,000000028139,000000000120,000000085226,000000001658,000000028815,000000000000,000000000000,000000439327,000000000000,000000001937,000000144740,000000009308,000000392606,000000038899,000000000000,000000000000,000000000000,000000002714,000000000957,000001119467,000000026689,000000000000,000000001910,000000061086,000000154239,000000004749,000000245693
T99,000000000000,000000000000,000000000000,000000004183,000000000000,000000000230,000000000000,000000002367,000000000000,000000024515,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000038334,000000000000,000000000178,000000000000,000000000000,000000000161,000000004510,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000012302,000000000000,000000025597,000000000063,000000000000,000000000000,000000028213,000000000000,000000000000,000000015682,000000055658,000000000000,000000000000,000000000000,000000000000
