ST ,          AL,          AK,          AZ,          AR,          CA,          CO,          CT,          DE,          FL,          GA,          HI,          ID,          IL,          IN,          IA,          KS,          KY,          LA,          ME,          MD,          MA,          MI,          MN,          MS,          MO,          MT,          NE,          NV,          NH,          NJ,          NM,          NY,          NC,          ND,          OH,          OK,          OR,          PA,          RI,          SC,          SD,          TN,          TX,          UT,          VT,          VA,          WA,          WV,          WI,          WY
POP,000004468912,000000633630,000005306966,000002694698,000034600463,000004430989,000003434602,000000796599,000016373330,000008405677,000001227024,000001320585,000012520227,000006126743,000002931967,000002702125,000004068816,000004470368,000001284470,000005386079,000006401164,000010006266,000004984535,000002859733,000005637309,000000905382,000001720039,000002097722,000001259359,000008511116,000001830935,000019084350,000008206105,000000636550,000011389785,000003469577,000003473441,000012303104,000001059659,000004062125,000000758324,000005749398,000021370983,000002278712,000000612978,000007196750,000005993390,000001800975,000005405947,000000493754
T01,000000183163,000000045116,000000312273,000000434194,000003321844,000000000000,000000000000,000000000000,000000498924,000000050948,000000000000,000000000000,000000058711,000000004583,000000000000,000000052148,000000412535,000000024607,000000047508,000000262028,000000000105,000001790053,000000009509,000000001293,000000019418,000000204240,000000005439,000000099108,000000458170,000000003146,000000040220,000000000000,000000000004,000000002576,000000024913,000000000000,000000000000,000000058245,000000000959,000000013571,000000000000,000000000000,000000000000,000000000000,000000367459,000000030587,000001399497,000000003613,000000079640,000000110012
T09,000001712639,000000000000,000003825282,000001809618,000024298292,000001970206,000003159040,000000000000,000014716286,000004906559,000001640038,000000782064,000006319746,000003606008,000001756167,000001745023,000002259124,000002400038,000000817880,000002646642,000003755838,000007722911,000003770897,000002325630,000002804891,000000000000,000001032181,000002048752,000000000000,000005758670,000001620362,000008778982,000003456078,000000340126,000006287758,000001535830,000000000000,000007238386,000000695966,000002500285,000000514712,000004704130,000014707624,000001480122,000000214128,000002642751,000008066999,000000928143,000003609895,000000405946
T10,000000128848,000000012003,000000051406,000000029072,000000288451,000000030439,000000041146,000000011611,000000545488,000000140367,000000037782,000000006057,000000140643,000000033078,000000012209,000000077896,000000069876,000000052392,000000040900,000000024522,000000064793,000000136591,000000060610,000000039256,000000025912,000000017541,000000017290,000000016468,000000011462,000000079889,000000034738,000000179157,000000199844,000000004892,000000081029,000000061994,000000012616,000000187662,000000009450,000000129133,000000011070,000000078471,000000541305,000000025020,000000015386,000000127638,000000168777,000000008197,000000044907,000000001349
T11,000000000094,000000002380,000000000634,000000000000,000000000000,000000087981,000000327003,000000000000,000000000000,000000000000,000000000000,000000000000,000000541079,000000470422,000000162175,000000000778,000000000217,000000457975,000000000000,000000011416,000000005939,000000075415,000000056497,000000182190,000000191301,000000041502,000000006215,000000729399,000000001659,000000342254,000000027458,000000000701,000000011846,000000014261,000000000000,000000007173,000000000038,000000000612,000000000000,000000037651,000000000020,000000000000,000000021629,000000000000,000000000000,000000000054,000000000043,000000000000,000000000379,000000000000
T12,000000202703,000000032175,000000187832,000000082883,000001496556,000000144643,000000180265,000000057908,000000387855,000000245229,000000073914,000000061341,000000256566,000000147895,000000126611,000000077211,000000243875,000000247319,000000045780,000000191427,000000332899,000000200756,000000185557,000000121316,000000192681,000000045952,000000033748,000000146925,000000061342,000000323188,000000044530,000000610625,000000311986,000000022412,000000350279,000000154309,000000061779,000000471533,000000037287,000000087631,000000042641,000000296496,000000767433,000000074012,000000021445,000000268060,000000279726,000000115053,000000099339,000000013313
T13,000000502635,000000037738,000000603697,000000400726,000003142142,000000570625,000000408539,000000099399,000001731688,000000664837,000000077451,000000207576,000001366563,000000665240,000000354091,000000362291,000000449110,000000538812,000000189172,000000686942,000000659873,000001074763,000000608069,000000405171,000000675994,000000183277,000000290834,000000248764,000000119433,000000516413,000000200052,000000513231,000001182716,000000111623,000001307275,000000401317,000000406079,000001706376,000000130069,000000365391,000000121624,000000774689,000002766028,000000325490,000000065895,000000847416,000000736146,000000236742,000000919700,000000066147
T14,000000003528,000000000000,000000001797,000000006273,000000044541,000000006098,000000008566,000000000207,000000029247,000000000000,000000000000,000000000000,000000012827,000000003553,000000002779,000000003973,000000019693,000000005020,000000004695,000000001867,000000007542,000000012520,000000001132,000000000000,000000000000,000000000126,000000000931,000000000000,000000004022,000000000000,000000001146,000000037431,000000000000,000000003471,000000017321,000000003703,000000001560,000000029170,000000005437,000000000000,000000001895,000000000000,000000011516,000000000000,000000000000,000000000000,000000001829,000000008451,000000002526,000000000249
T15,000000520100,000000003329,000000032678,000000000000,000000262527,000000009252,000000180546,000000031893,000000651142,000000000000,000000134582,000000001796,000001527009,000000004247,000000000000,000000000887,000000000000,000000009067,000000004022,000000144049,000000000000,000000028756,000000000050,000000001332,000000000420,000000031990,000000002599,000000008089,000000057756,000000851195,000000012421,000000927222,000000421683,000000039134,000000640548,000000019954,000000008063,000000684209,000000081305,000000043757,000000002430,000000003998,000000672566,000000001668,000000009605,000000096603,000000332367,000000192526,000000274020,000000002121
T16,000000066301,000000047012,000000160694,000000096663,000001150856,000000067904,000000118701,000000027213,000000442711,000000081823,000000055073,000000028568,000000472615,000000085338,000000095693,000000052876,000000016862,000000096621,000000074358,000000205766,000000270512,000000596238,000000183009,000000055507,000000108152,000000013726,000000045016,000000066213,000000086786,000000397514,000000018024,000001020302,000000042026,000000021810,000000281972,000000073659,000000177603,000000320955,000000059645,000000029497,000000019350,000000081671,000000584461,000000047839,000000026721,000000015174,000000264885,000000031838,000000254868,000000005074
T19,000000160898,000000000000,000000000000,000000045794,000000066699,000000000002,000000131624,000000066474,000000499395,000000000000,000000179000,000000005078,000000318122,000000015368,000000000000,000000006194,000000553290,000000297087,000000000000,000000678962,000000162852,000000034536,000000997089,000000006892,000000025776,000000018250,000000018565,000000022335,000000231693,000000237359,000000124465,000001026363,000000588780,000000063141,000000000000,000000014557,000000000000,000000027464,000000100039,000000081990,000000043194,000000122201,000003231738,000000025646,000000176255,000000578198,000000204999,000000318507,000000003604,000000000000
T20,000000002207,000000001117,000000001127,000000001546,000000033333,000000004835,000000005822,000000000790,000000029821,000000002336,000000000000,000000001156,000000004041,000000007992,000000009223,000000002325,000000001152,000000000000,000000004290,000000000541,000000001369,000000012065,000000000891,000000002242,000000003683,000000001722,000000000266,000000000000,000000002752,000000006455,000000000817,000000031353,000000007081,000000000256,000000024335,000000005984,000000001313,000000014459,000000000067,000000008295,000000000285,000000002275,000000032490,000000000852,000000000427,000000007167,000000008211,000000008744,000000000488,000000000009
T21,000000000000,000000000001,000000000056,000000000707,000000003786,000000000975,000000000153,000000000356,000000004808,000000000000,000000000000,000000000285,000000002074,000000005602,000000005690,000000000221,000000003083,000000000000,000000000749,000000000023,000000000493,000000000000,000000000307,000000001368,000000000928,000000003927,000000000000,000000092971,000000000396,000000056846,000000000306,000000000171,000000000000,000000000245,000000000000,000000003326,000000001867,000000000112,000000000348,000000002509,000000000127,000000000058,000000007216,000000000000,000000000109,000000000043,000000000114,000000000015,000000000493,000000000000
T22,000000081912,000000001278,000000010623,000000009767,000000045192,000000005812,000000012710,000000586785,000000123905,000000032708,000000002667,000000001273,000000151605,000000005715,000000028719,000000027782,000000204474,000000252710,000000003313,000000014204,000000023129,000000012459,000000004375,000000066100,000000077158,000000001277,000000006190,000000023058,000000004347,000000145753,000000002402,000000065505,000000398278,000000000000,000000296642,000000042700,000000005007,000000877073,000000011470,000000056194,000000002130,000000480242,000002030756,000000002573,000000001267,000000028990,000000014685,000000005649,000000087857,000000007290
T23,000000014824,000000024585,000000018104,000000020851,000000076222,000000053199,000000002734,000000000949,000000012602,000000022354,000000000343,000000028789,000000024295,000000013793,000000019067,000000015875,000000020152,000000033234,000000011312,000000011730,000000005374,000000048009,000000047529,000000011240,000000028373,000000031068,000000011931,000000006316,000000006371,000000013340,000000012256,000000021562,000000013503,000000008818,000000027430,000000013933,000000036232,000000060939,000000001675,000000014650,000000021140,000000024782,000000064993,000000021932,000000006175,000000019231,000000034882,000000015736,000000059412,000000024766
