ST ,          AL,          AK,          AZ,          AR,          CA,          CO,          CT,          DE,          FL,          GA,          HI,          ID,          IL,          IN,          IA,          KS,          KY,          LA,          ME,          MD,          MA,          MI,          MN,          MS,          MO,          MT,          NE,          NV,          NH,          NJ,          NM,          NY,          NC,          ND,          OH,          OK,          OR,          PA,          RI,          SC,          SD,          TN,          TX,          UT,          VT,          VA,          WA,          WV,          WI,          WY
T24,000000193872,000000034124,000000145214,000000110192,000001787789,000000175932,000000218327,000000033817,000000959619,000000238195,000000082054,000000130661,000001297171,000000213105,000000339759,000000141334,000000184620,000000106281,000000070473,000000190380,000000265454,000000837630,000000495656,000000122846,000000263913,000000052862,000000079541,000000112642,000000066367,000000409917,000000108740,000000571733,000000394504,000000047795,000000586660,000000577552,000000219949,000000758928,000000050402,000000104194,000000047337,000000225933,000000939080,000000083094,000000036555,000000312919,000000300231,000000077701,000000288132,000000049963
T25,000000012627,000000000000,000000014077,000000016920,000000155460,000000014048,000000029292,000000001077,000000123781,000000043218,000000000429,000000007377,000000065544,000000000000,000000011188,000000012166,000000011399,000000007783,000000010328,000000015065,000000047231,000000045892,000000030789,000000024158,000000020320,000000003206,000000008187,000000012141,000000008977,000000035542,000000005258,000000031239,000000066923,000000003577,000000040962,000000010917,000000016917,000000053570,000000000552,000000020681,000000002237,000000037268,000000123557,000000008311,000000004311,000000031413,000000041463,000000003735,000000035638,000000002772
T27,000000009678,000000000325,000000000000,000000009924,000000076921,000000000000,000000000310,000000004525,000000029599,000000000000,000000009260,000000031358,000000000000,000000000000,000000007460,000000003707,000000006100,000000002640,000000000000,000000000000,000000000000,000000016309,000000000000,000000010451,000000020573,000000000005,000000000000,000000000000,000000004682,000000000400,000000000054,000000033384,000000000000,000000000004,000000001809,000000000003,000000011230,000000047015,000000000000,000000000000,000000000000,000000006236,000000016676,000000000000,000000000000,000000000000,000000014166,000000011736,000000000000,000000000000
T28,000000117483,000000011881,000000060660,000000076840,000001726659,000000046074,000000078870,000000183223,000000255025,000000079939,000000020635,000000043426,000000282824,000000063543,000000071416,000000021582,000000117368,000000071745,000000036142,000000164577,000000094386,000000212942,000000208688,000000065011,000000159619,000000029013,000000057915,000000121861,000000050498,000000184229,000000029766,000000105223,000000072322,000000033657,000000500065,000000150943,000000119626,000000355793,000000025548,000000123865,000000058326,000000096821,000000509673,000000023702,000000027530,000000130949,000000180647,000000029273,000000217633,000000005241
T29,000000000068,000000000106,000000008020,000000005508,000000003533,000000000499,000000004830,000000020188,000000009829,000000087735,000000001076,000000003415,000000004115,000000001327,000000003976,000000002340,000000003446,000000003382,000000001408,000000002153,000000058646,000000043413,000000021891,000000000647,000000012496,000000001456,000000019264,000000003900,000000000982,000000000842,000000000079,000000004924,000000003355,000000000000,000000005545,000000000467,000000003462,000000013118,000000000515,000000016325,000000008317,000000004521,000000027045,000000002812,000000001438,000000004791,000000032965,000000000244,000000011902,000000000856
T40,000002437640,000000000000,000002303888,000001563693,000044614297,000003893395,000004229615,000000720034,000000000000,000006926035,000001105058,000001030528,000007668717,000003779805,000001888847,000001988460,000002649818,000001750261,000001161738,000004724074,000009902677,000006790384,000005906184,000001033367,000003815194,000000556015,000001227092,000000000000,000000076651,000007989222,000000830006,000026442534,000007526282,000000213485,000008305725,000002279364,000004384324,000007154981,000000928203,000002498818,000000000000,000000198071,000000000000,000001705271,000000483592,000007226402,000000000000,000001020690,000005149020,000000000000
T41,000000201533,000000400442,000000541174,000000202345,000006899302,000000340039,000000387812,000000158703,000001591473,000000691473,000000060499,000000141986,000002216842,000000825017,000000166745,000000236723,000000361390,000000293056,000000096283,000000501365,000001211584,000002102093,000000732004,000000210786,000000236261,000000103670,000000138040,000000000000,000000350363,000001300785,000000190673,000003199483,000000723635,000000063390,000000663376,000000167222,000000322651,000001389458,000000077998,000000192070,000000043387,000000673465,000000000000,000000162754,000000044606,000000363757,000000000000,000000214297,000000495449,000000000000
T50,000000047261,000000002683,000000076922,000000026101,000000934708,000000082798,000000257801,000000041037,000000707565,000000126114,000000017541,000000042808,000000361039,000000163674,000000087670,000000041195,000000085160,000000082930,000000030616,000000168751,000000203381,000000155469,000000053377,000000027575,000000153689,000000020286,000000027411,000000039918,000000059266,000000478061,000000023261,000000758523,000000143419,000000005056,000000166004,000000084806,000000042077,000000776869,000000027320,000000049488,000000034925,000000084140,000000322355,000000030017,000000012714,000000126839,000000106311,000000017541,000000077084,000000007883
T51,000000029383,000000000000,000000000000,000000017365,000000000000,000000000000,000000111967,000000059210,000001538670,000000000338,000000010368,000000000000,000000057787,000000000000,000000009295,000000000000,000000003169,000000000000,000000017971,000000104605,000000151193,000000252894,000000159328,000000000000,000000000000,000000000000,000000006712,000000003692,000000091645,000000122277,000000000000,000000498654,000000033652,000000000000,000000000000,000000009132,000000025647,000000316898,000000002302,000000039085,000000000135,000000117780,000000000000,000000000000,000000021266,000000166911,000000435305,000000006621,000000044224,000000000000
T53,000000118310,000000772403,000000004218,000000015904,000000024636,000000061917,000000000000,000000000000,000000049315,000000000000,000000000000,000000002556,000000000294,000000000565,000000000000,000000113968,000000174995,000000464420,000000000000,000000000000,000000000000,000000061804,000000001147,000000035103,000000000063,000000131900,000000002041,000000029675,000000000000,000000000000,000000675212,000000000000,000000002047,000000164624,000000008302,000000711072,000000034923,000000000000,000000000000,000000000000,000000002187,000000001131,000002044795,000000051853,000000000000,000000001727,000000055162,000000167823,000000001340,000000421301
T99,000000000000,000000000000,000000000000,000000003861,000000000000,000000000246,000000000000,000000000522,000000000000,000000028297,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000034606,000000000000,000000000000,000000000000,000000000000,000000000381,000000002799,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000011797,000000000000,000000028064,000000000048,000000000000,000000000000,000000028968,000000000000,000000000000,000000015855,000000057709,000000000000,000000000000,000000010685,000000000000
