Code,AL,,AK,,AZ,,AR,,CA,,CO,,CT,,DE,,FL,,GA,,HI,,ID,,IL,,IN,,IA,,KS,,KY,,LA,,ME,,MD,,MA,,MI,,MN,,MS,,MO,,MT,,NE,,NV,,NH,,NJ,,NM,,NY,,NC,,ND,,OH,,OK,,OR,,PA,,RI,,SC,,SD,,TN,,TX,,UT,,VT,,VA,,WA,,WV,,WI,,WY,,
T20,000000003881,,000000001819,,000000007928,,000000001619,,000000049448,,000000005939,,000000006571,,000000001187,,000000008629,,000000002053,,000000000000,,000000001486,,000000011729,,000000011244,,000000011004,,000000002745,,000000006272,,000000000000,,000000004704,,000000001014,,000000002941,,000000014078,,000000001724,,000000002828,,000000005086,,000000002087,,000000000542,,000000000000,,000000003245,,000000007838,,000000003583,,000000043701,,000000015261,,000000000250,,000000033302,,000000009831,,000000003423,,000000016224,,000000000121,,000000008306,,000000000553,R,000000001158,,000000070850,,000000001890,,000000000371,,000000011514,,000000011336,,000000017483,,000000001268,,000000000000,,
T21,000000000000,,000000000001,,000000000000,,000000000441,,000000011860,,000000000830,,000000000038,,000000000440,,000000009000,,000000000220,,000000000000,,000000000325,,000000003320,,000000204763,,000000024016,,000000000029,,000000000350,,000000000000,,000000000727,,000000000027,,000000000427,,000000000000,,000000001143,,000000005004,,000000001713,,000000000923,,000000000735,,000000099863,,000000000174,,000000071230,,000000000420,,000000000069,,000000000000,,000000000286,,000000008551,,000000221533,,000000002631,,000000018342,,000000000429,,000000002600,,000000007719,R,000000000353,,000000008365,,000000000000,,000000000039,,000000000118,,000000007240,,000000000015,,000000000641,,000000000000,,
T22,000000109384,,000000000889,,000000028299,,000000023967,,000000059297,,000000014674,,000000016731,,000000705618,,000000239887,,000000030241,,000000001402,,000000001927,,000000311488,,000000003629,,000000030855,,000000050352,,000000082531,,000000232660,,000000007976,,000000091758,,000000024429,,000000019585,,000000008871,,000000111892,,000000088136,,000000002768,,000000002269,,000000064913,,000000038589,,000000263405,,000000013012,,000000062981,,000000534642,,000000000000,,000001222426,,000000063327,,000000010372,,000000620004,,000000004289,,000000078570,,000000003033,,000000524685,,000004274325,,000000003249,,000000002053,,000000053675,,000000024652,,000000002463,,000000017122,,000000011533,,
T23,000000021549,,000000024492,,000000028997,,000000021591,,000000095426,,000000071796,,000000006195,,000000002701,,000000015509,,000000019390,,000000000397,,000000035562,,000000037128,,000000018674,,000000028259,,000000023140,,000000026724,,000000027844,,000000016006,,000000015595,,000000005620,,000000051020,,000000058586,,000000015771,,000000031749,,000000045849,,000000014727,,000000008591,,000000010324,,000000013304,,000000023537,,000000047059,,000000016877,,000000014903,,000000040651,,000000019824,,000000040241,,000000068642,,000000001795,,000000015907,,000000028081,,000000023464,,000000099242,,000000028752,,000000006401,,000000022421,,000000032936,,000000017060,,000000072187,,000000036544,,
T24,000000195459,,000000055267,,000000196054,,000000141524,,000002978475,,000000211319,,000000193402,,000000048236,,000001119332,,000000283406,,000000100413,,000000122231,,000001373388,,000000207710,,000000426321,,000000171588,,000000206782,,000000078172,,000000091030,,000000438868,,000000293845,,000000874833,,000000526032,,000000125497,,000000268599,,000000139012,,000000074723,,000000163707,,000000098938,,000000486875,,000000145964,,000000723000,,000000572968,,000000078599,,000000806294,,000000582683,,000000437866,,000000824678,,000000052317,,000000152287,,000000048655,,000000251335,,000001496478,,000000256863,,000000062890,,000000350852,,000000455901,,000000089837,,000000465014,,000000081105,,
T25,000000015625,,000000000000,,000000024529,,000000016782,,000000258998,,000000014171,,000000040773,,000000004362,,000000181209,,000000064162,,000000000291,,000000007773,,000000073895,,000000203899,,000000018345,,000000015537,,000000016100,,000000010967,,000000010841,,000000029932,,000000093471,,000000058595,,000000047977,,000000032510,,000000017114,,000000007428,,000000009820,,000000015964,,000000012893,,000000042291,,000000003874,,000000138239,,000000130377,,000000004116,,000000080216,,000000015257,,000000029011,,000000061861,,000000000658,,000000046989,,000000002062,,000000043048,,000000103907,,000000014301,,000000005989,,000000057979,,000000063330,,000000003901,,000000042715,,000000002178,,
T27,000000014360,,000000000169,,000000001341,,000000008520,,000000476323,,000000012739,,000000000000,,000000000000,R,000000030500,,000000000016,,000000016171,,000000032416,,000000005385,,000000000000,,000000010136,,000000006840,,000000000000,,000000008416,,000000000000,,000000000000,,000000000000,,000000025328,,000000000872,,000000008215,,000000021325,,000000000009,,000000000000,,000000000000,,000000009406,,000000001570,,000000000851,,000000029180,,000000000000,,000000000006,,000000031018,,000000000009,,000000003289,,000000062546,,000000000000,,000000000000,,000000000000,,000000004402,,000000021798,,000000000000,,000000000000,,000000000000,,000000019202,,000000018910,,000000063455,,000000000000,,
T28,000000118668,,000000040005,,000000110725,,000000113098,,000004438221,,000000033003,,000000094568,,000000245161,,000000215104,,000000072851,,000000026390,,000000062404,,000000432711,,000000040733,,000000108486,,000000029038,,000000115300,,000000103551,,000000102616,,000000184015,,000000219336,,000000154244,,000000329440,,000000088486,,000000120468,,000000092600,,000000047309,,000000172176,,000000053814,,000000512812,,000000022468,,000000209057,,000000196785,,000000042660,,000000635544,,000000105543,,000000156684,,000000813026,,000000036317,,000000138676,,000000100759,,000000274401,,000000674840,,000000045734,,000000016253,,000000170158,,000000254931,,000000043100,,000000291512,,000000020850,,
T29,000000000001,,000000009862,,000000003114,,000000000851,,000000003866,,000000001073,,000000005224,,000000140282,,000000004067,,000000009216,,000000001206,,000000004084,,000000008561,,000000006835,,000000001517,,000000002684,,000000004489,,000000003361,,000000009268,,000000002075,,000000113738,,000000153873,,000000047537,,000000012917,,000000017483,,000000007310,,000000016889,,000000005118,,000000000206,,000000002532,,000000001036,,000000002051,,000000007368,,000000000000,,000000022395,,000000002576,,000000006099,,000000017974,,000000000954,,000000008860,,000000009746,,000000005805,,000000097736,,000000005953,,000000004367,,000000004282,,000000058528,,000000000216,,000000005318,,000000000000,,
T40,000002662759,,000000000000,,000002575753,,000002238958,,000044355959,,000004403446,,000005609270,,000000910693,,000000000000,,000007801185,,000001338702,,000001175604,,000009222600,,000004313759,,000002703190,,000002731559,,000003315368,,000002940633,,000001370710,,000006478236,,000010599085,,000005856751,,000006948119,,000001485592,,000004771576,,000000827196,,000001602091,,000000000000,,000000098191,,000010663866,,000000958500,,000036840019,,000009560353,,000000370165,,000008323352,,000002544576,,000005162384,,000009550238,,000000960885,,000002812300,,000000000000,,000000221685,,000000000000,,000002319632,,000000532911,,000009194355,,000000000000,,000001557403,,000005971177,,000000000000,,
T41,000000493972,,000000632123,,000000592187,,000000346215,,000009535679,,000000329545,,000000444061,,000000208677,,000001836800,,000000694717,,000000078597,,000000142240,,000001710000,,000000838974,,000000264365,,000000370889,,000000389634,,000000612545,,000000143086,,000000749001,,000001789553,,000000703250,,000000779055,,000000324301,,000000278661,,000000164255,,000000198442,,000000000000,,000000493431,,000002397471,,000000162500,,000004427675,,000000901445,,000000129542,,000000521363,,000000342762,,000000243752,,000001740532,,000000108497,,000000249200,,000000048772,,000000816261,,000000000000,,000000245880,,000000086759,,000000633490,,000000000000,,000000420530,,000000656872,,000000000000,,
T50,000000000000,,000000000175,,000000000210,,000000000224,,000000000245,,000000000022,,000000230503,,000000000000,,000000004800,,000000000083,,000000000274,,000000000264,,000000287757,,000000185662,,000000072562,,000000022530,,000000041234,,000000005068,,000000031819,,000000205627,,000000259734,,000000000147,,000000129811,,000000000000,,000000003030,,000000000213,,000000000493,,000000000000,,000000000077,,000000639544,,000000000032,,000001165247,,000000116624,,000000000040,,000000034403,R,000000043804,R,000000087211,,000000748648,,000000027262,,000000000153,,000000000016,,000000091490,,000000002004,,000000000321,,000000023397,,000000006005,,000000138535,,000000000029,,000000020853,,000000000113,,
T51,000000036347,,000000000000,,000000000000,,000000024613,,000000000000,,000000000000,,000000086699,,000000056586,,000001328300,,000000016503,,000000023773,,000000000000,,000000040641,,000000000000,,000000013858,,000000000000,,000000003166,,000000000000,,000000017787,,000000115670,,000000135595,,000000125293,,000000160953,,000000000000,,000000008576,,000000000000,,000000010934,,000000071043,,000000084128,,000000355394,,000000000000,,000000829727,,000000036038,,000000000000,,000000000000,,000000012822,,000000011395,,000000349181,,000000007149,,000000034524,,000000000163,,000000138055,,000000000000,,000000000000,,000000026472,,000000313594,,000000415415,,000000008537,,000000041160,,000000000000,,
T53,000000115374,,000003829564,,000000019481,,000000033547,,000000027105,,000000285015,,000000000068,,000000000000,,000000081300,,000000000000,,000000000000,,000000004952,,000000000000,,000000001475,,000000000000,,000000142658,,000000355985,,000000911433,,000000000000,,000000000000,,000000000000,,000000053233,,000000045820,,000000113762,,000000000018,,000000349714,,000000004718,,000000145450,,000000000000,,000000000000,,000000931812,,000000000000,,000000001740,,000000827417,,000000011052,,000001067182,,000000013038,,000000000000,,000000000000,,000000000000,,000000007668,,000000002413,,000002295177,,000000102121,,000000000000,,000000001997,,000000029681,,000000376677,,000000005669,,000001197540,,
T99,000000000000,,000000000000,,000000000000,,000000011751,,000000000000,,000000000000,,000000000000,,000000000882,,000000000000,R,000000000000,,000000000000,,000000006247,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000062297,,000000044559,,000000000000,,000000000000,,000000001372,R,000000012133,,000000003494,,000000000000,,000000277516,,000000000000,,000000000000,,000000000000,R,000000000000,,000000000000,,000000000000,,000000000000,,000000002126,,000000000000,,000000027337,,000000000130,,000000000000,,000000000920,,000000034107,,000000000000,,000000000000,,000000003985,,000000117343,,000000000000,,000000000000,,000000010877,,000000006275,,
