ST ,          AL,          AK,          AZ,          AR,          CA,          CO,          CT,          DE,          FL,          GA,          HI,          ID,          IL,          IN,          IA,          KS,          KY,          LA,          ME,          MD,          MA,          MI,          MN,          MS,          MO,          MT,          NE,          NV,          NH,          NJ,          NM,          NY,          NC,          ND,          OH,          OK,          OR,          PA,          RI,          SC,          SD,          TN,          TX,          UT,          VT,          VA,          WA,          WV,          WI,          WY
POP,000000004504,000000000648,000000005579,000000002728,000000035463,000000004548,000000003487,000000000818,000000016999,000000008676,000000001249,000000001367,000000012649,000000006200,000000002942,000000002725,000000004118,000000004494,000000001309,000000005512,000000006420,000000010082,000000005064,000000002883,000000005719,000000000918,000000001737,000000002242,000000001289,000000008642,000000001879,000000019212,000000008421,000000000633,000000011438,000000003506,000000003564,000000012371,000000001076,000000004149,000000000765,000000005845,000000022103,000000002352,000000000619,000000007365,000000006131,000000001811,000000005474,000000000502
T01,000000204534,000000048741,000000305971,000000468955,000001909554,000000000000,000000000000,000000000000,000000346230,000000058953,000000000000,000000000000,000000056729,000000004510,000000000000,000000054030,000000441311,000000040730,000000046853,000000288889,000000000072,000002427493,000000585416,000000001324,000000021489,000000186503,000000002183,000000110157,000000504881,000000003135,000000044848,000000000000,000000000000,000000001435,000000038735,000000000000,000000026185,000000071664,000000001681,000000006139,000000000000,000000000000,000000000000,000000000000,000000415716,000000020037,000001499544,000000003526,000000075907,000000146450
T09,000001764557,000000000000,000004332982,000001951630,000024899025,000001833200,000003065486,000000000000,000014963444,000004770869,000001792698,000000842006,000006558746,000004210262,000001589917,000001888543,000002387206,000002488627,000000857495,000002720162,000003708069,000007685308,000003903717,000002459984,000002819814,000000000000,000001426914,000002192321,000000000000,000005936057,000001368200,000008841872,000004005124,000000360831,000006761515,000001480137,000000000000,000007561149,000000764217,000002555851,000000539396,000005414674,000014347144,000001485977,000000220827,000002692151,000008007337,000000978022,000003738000,000000425244
T10,000000126519,000000022466,000000054067,000000033817,000000290564,000000030286,000000042491,000000012239,000000607748,000000142010,000000041185,000000006326,000000141981,000000037679,000000012659,000000083982,000000075858,000000052721,000000044243,000000025651,000000066956,000000124149,000000062832,000000039520,000000026810,000000019300,000000017834,000000017284,000000012045,000000083075,000000036600,000000181499,000000199582,000000005662,000000087258,000000066325,000000013005,000000219908,000000010452,000000142155,000000011069,000000087650,000000567796,000000028156,000000016247,000000139455,000000180557,000000008652,000000041109,000000001283
T11,000000000127,000000002586,000000000627,000000000000,000000000000,000000098052,000000424317,000000000000,000000000000,000000000000,000000000000,000000000000,000000681799,000000671812,000000177570,000000000675,000000000193,000000519059,000000000000,000000011404,000000005523,000000090945,000000055731,000000184588,000000288513,000000045816,000000006237,000000739252,000000001695,000000348552,000000038996,000000000578,000000011100,000000014181,000000000000,000000006672,000000000184,000000000605,000000000000,000000035784,000000000025,000000000000,000000021431,000000000000,000000000000,000000000066,000000000217,000000000000,000000000349,000000000000
T12,000000230382,000000043391,000000230359,000000089015,000001879784,000000174789,000000225267,000000063628,000000510940,000000323361,000000076670,000000071483,000000328198,000000177292,000000142236,000000121317,000000298072,000000333447,000000077872,000000238258,000000366430,000000231076,000000226830,000000125261,000000238803,000000054790,000000038908,000000174014,000000074291,000000373276,000000052309,000000624221,000000417165,000000028295,000000376476,000000162208,000000057342,000000558508,000000051732,000000146378,000000049926,000000322236,000001109363,000000100286,000000044258,000000333004,000000316689,000000101813,000000114900,000000016187
T13,000000516858,000000037353,000000642050,000000431449,000003202511,000000578754,000000450330,000000107268,000001909506,000000678115,000000080194,000000211278,000001388323,000000750089,000000348520,000000411458,000000469944,000000555621,000000194472,000000716686,000000676426,000001100931,000000638722,000000416277,000000705019,000000192770,000000307181,000000265846,000000125614,000000530957,000000207094,000000546846,000001156905,000000114409,000001456148,000000406052,000000419329,000001767817,000000138781,000000373814,000000131133,000000815210,000002839858,000000333161,000000072164,000000865248,000000752392,000000286018,000000884738,000000061438
T14,000000003416,000000000000,000000000583,000000004431,000000042028,000000004597,000000010710,000000000203,000000031224,000000000000,000000000000,000000000000,000000011915,000000005054,000000003150,000000003875,000000018556,000000005928,000000004761,000000003302,000000006547,000000011823,000000001357,000000000000,000000000000,000000000113,000000000950,000000000000,000000004206,000000000000,000000001150,000000038123,000000000000,000000002718,000000015509,000000002709,000000002636,000000028083,000000004934,000000000000,000000001055,000000000000,000000012217,000000000000,000000000000,000000000000,000000001710,000000010491,000000001894,000000000152
T15,000000479357,000000003655,000000032856,000000000000,000000471673,000000009700,000000197960,000000034214,000001654278,000000000000,000000114115,000000001810,000001382344,000000010940,000000000000,000000000758,000000000000,000000019567,000000008201,000000130142,000000000000,000000027791,000000000052,000000015986,000000000000,000000032547,000000003153,000000010872,000000069732,000000872512,000000012422,000001022131,000000321807,000000033910,000000794303,000000019251,000000010880,000000870563,000000075061,000000042588,000000005448,000000006083,000000763352,000000001804,000000010242,000000102765,000000329851,000000191126,000000357257,000000001999
T16,000000065609,000000042681,000000217955,000000099681,000001055505,000000064523,000000253817,000000036437,000000478622,000000113056,000000072297,000000029619,000000605057,000000352375,000000094934,000000133760,000000019665,000000082071,000000094398,000000279016,000000451044,000000892140,000000176123,000000056445,000000108149,000000018453,000000066190,000000067191,000000094029,000000642829,000000018318,000001116655,000000041999,000000020462,000000599940,000000072098,000000242896,000000877085,000000094938,000000029192,000000021672,000000113925,000000582717,000000051833,000000087639,000000015421,000000362367,000000049689,000000309200,000000010347
