"SITE_ID","YEAR","PRECIP","N_WET_NH4","N_WET_NO3","N_WET","N_DRY_HNO3","N_DRY_NO3","N_DRY_TNO3","N_DRY_NH4","N_DRY_NH3","N_DRY_NH3NET","N_DRY_NOM","N_DRY_NRED","N_DRY_NOXI","N_DRY","N_TOTAL_NRED","N_TOTAL_NOXI","N_TOTAL","S_WET_SO4","S_WET","S_DRY_SO2","S_DRY_SO4","S_DRY","S_TOTAL","NA_DRY","NA_WET","NA_TOTAL","MG_DRY","MG_WET","MG_TOTAL","K_DRY","K_WET","K_TOTAL","CA_DRY","CA_WET","CA_TOTAL","CL_DRY","CL_WET","CL_TOTAL"
"SND152","2001.0","131.225","2.506","2.165","4.672","4.173","0.286","4.46","0.398","1.535","0.791","1.932","1.933","6.391","8.324","4.44","8.556","12.996","4.921","4.921","6.638","0.318","6.956","11.877","0.196","1.273","1.469","0.046","0.223","0.269","0.06","0.551","0.611","0.184","0.866","1.05","0.106","2.245","2.351"
"SND152","2003.0","148.406","2.503","2.717","5.219","3.591","0.209","3.799","0.341","1.574","0.872","1.933","1.915","5.732","7.647","4.417","8.449","12.866","6.245","6.245","6.519","0.268","6.788","13.033","0.111","1.415","1.526","0.033","0.265","0.298","0.05","0.584","0.635","0.149","1.403","1.552","0.106","2.783","2.889"
"SND152","2004.0","167.184","2.365","2.079","4.444","3.358","0.148","3.506","0.317","1.994","1.296","1.803","2.312","5.309","7.62","4.676","7.388","12.064","5.747","5.747","6.497","0.27","6.767","12.514","0.152","1.421","1.573","0.041","0.218","0.259","0.05","0.318","0.368","0.135","0.903","1.038","0.097","2.542","2.639"
"SND152","2005.0","122.064","3.327","2.196","5.522","3.422","0.214","3.636","0.403","1.921","1.165","1.7","2.325","5.336","7.661","5.651","7.532","13.183","6.286","6.286","6.365","0.301","6.666","12.953","0.103","1.354","1.457","0.035","0.281","0.316","0.056","0.854","0.91","0.168","1.22","1.389","0.057","2.55","2.607"
"SND152","2006.0","119.529","3.731","2.296","6.028","3.497","0.222","3.719","0.372","2.256","1.524","1.519","2.628","5.237","7.865","6.359","7.533","13.892","6.546","6.546","5.867","0.29","6.157","12.704","0.141","1.458","1.599","0.041","0.323","0.363","0.055","1.206","1.261","0.187","1.637","1.825","0.078","2.533","2.611"
"SND152","2007.0","84.228","2.577","1.319","3.896","3.648","0.251","3.9","0.435","2.149","1.394","1.449","2.584","5.349","7.933","5.161","6.668","11.829","3.977","3.977","5.905","0.326","6.23","10.207","0.196","0.909","1.105","0.048","0.168","0.216","0.056","0.387","0.443","0.209","0.59","0.799","0.075","1.642","1.717"
"SND152","2008.0","130.837","2.215","1.532","3.747","3.056","0.23","3.286","0.368","2.512","1.725","1.407","2.88","4.693","7.573","5.095","6.225","11.321","5.035","5.035","4.224","0.275","4.498","9.534","0.186","1.831","2.017","0.044","0.288","0.332","0.057","0.915","0.972","0.189","1.165","1.354","0.083","3.178","3.262"
"SND152","2009.0","163.805","1.926","1.754","3.68","2.098","0.196","2.295","0.314","2.835","2.147","1.331","3.149","3.626","6.774","5.074","5.38","10.454","3.836","3.836","2.461","0.205","2.666","6.503","0.162","1.422","1.584","0.037","0.247","0.283","0.063","0.532","0.595","0.16","1.064","1.224","0.105","2.504","2.609"
"SND152","2010.0","111.897","2.546","1.479","4.025","2.187","0.185","2.372","0.309","2.582","1.775","1.227","2.89","3.599","6.489","5.436","5.079","10.515","3.055","3.055","2.114","0.202","2.316","5.371","0.119","0.962","1.081","0.035","0.213","0.248","0.061","0.76","0.821","0.183","0.862","1.045","0.054","1.734","1.789"
"SND152","2011.0","165.593","3.447","2.219","5.666","2.302","0.169","2.471","0.311","3.15","2.302","1.275","3.461","3.746","7.207","6.908","5.965","12.873","3.833","3.833","1.956","0.216","2.172","6.004","0.205","1.573","1.778","0.044","0.331","0.375","0.063","0.48","0.543","0.177","1.656","1.833","0.118","2.583","2.701"
"SND152","2012.0","124.257","2.721","1.419","4.139","2.191","0.161","2.352","0.265","3.049","2.311","1.181","3.314","3.533","6.846","6.034","4.951","10.986","2.607","2.607","1.183","0.173","1.356","3.963","0.185","1.131","1.316","0.045","0.298","0.343","0.062","1.377","1.439","0.204","0.907","1.111","0.11","1.964","2.074"
"SND152","2013.0","186.207","3.6","1.806","5.405","1.793","0.146","1.939","0.246","3.319","2.611","1.149","3.564","3.088","6.652","7.164","4.894","12.058","3.219","3.219","1.048","0.151","1.199","4.418","0.154","1.491","1.644","0.034","0.298","0.332","0.048","0.93","0.978","0.145","1.248","1.393","0.102","2.534","2.636"
"SND152","2014.0","133.851","1.624","1.498","3.122","1.846","0.135","1.981","0.222","3.342","2.452","1.111","3.564","3.091","6.655","5.187","4.589","9.777","2.66","2.66","1.261","0.142","1.403","4.063","0.121","1.197","1.317","0.033","0.345","0.378","0.051","0.306","0.357","0.182","1.446","1.628","0.059","2.166","2.225"
"SND152","2015.0","142.519","2.566","1.271","3.836","1.737","0.148","1.885","0.224","3.69","2.872","1.101","3.914","2.986","6.9","6.479","4.257","10.736","1.912","1.912","0.919","0.127","1.046","2.958","0.133","1.214","1.348","0.034","0.229","0.263","0.052","0.626","0.678","0.167","0.659","0.826","0.092","2.186","2.277"
"SND152","2016.0","106.874","2.274","1.29","3.563","1.926","0.156","2.082","0.219","3.419","2.653","0.959","3.637","3.042","6.679","5.911","4.332","10.242","1.548","1.548","0.682","0.124","0.806","2.354","0.163","1.027","1.19","0.041","0.214","0.254","0.052","0.331","0.383","0.222","0.866","1.087","0.096","1.808","1.903"
"SND152","2017.0","162.848","3.377","1.326","4.702","1.542","0.154","1.696","0.205","4.096","3.296","1.007","4.301","2.703","7.004","7.678","4.029","11.707","1.871","1.871","0.743","0.117","0.859","2.731","0.166","1.238","1.404","0.038","0.244","0.283","0.052","0.602","0.655","0.185","1.043","1.228","0.105","2.166","2.272"
"SND152","2018.0","162.731","3.172","1.453","4.625","1.445","0.164","1.608","0.199","4.096","3.296","1.007","4.294","2.615","6.91","7.467","4.068","11.535","1.729","1.729","0.54","0.103","0.643","2.372","0.138","1.302","1.44","0.036","0.26","0.297","0.054","0.553","0.607","0.176","1.025","1.201","0.08","2.246","2.326"
"SND152","2019.0","168.3","3.058","1.461","4.519","1.553","0.14","1.693","0.191","4.096","3.296","1.007","4.287","2.7","6.987","7.346","4.16","11.506","1.922","1.922","0.493","0.102","0.595","2.517","0.138","1.313","1.451","0.036","0.219","0.255","0.053","0.488","0.541","0.184","0.926","1.109","0.089","2.323","2.412"
"SND152","2020.0","172.441","3.936","1.465","5.402","1.305","0.131","1.437","0.169","4.096","3.296","1.007","4.264","2.444","6.708","8.201","3.909","12.11","2.193","2.193","0.423","0.093","0.516","2.709","0.138","1.793","1.931","0.036","0.293","0.329","0.056","0.707","0.763","0.17","1.0","1.17","0.096","3.018","3.114"
"SND152","2002.0","145.915","2.765","2.763","5.528","4.195","0.165","4.36","0.307","1.535","0.791","1.932","1.842","6.291","8.134","4.607","9.054","13.662","6.587","6.587","6.929","0.272","7.2","13.788","0.153","1.342","1.496","0.036","0.277","0.313","0.051","0.642","0.693","0.135","1.211","1.346","0.106","2.466","2.573"
"CAD150","2001.0","151.199","1.507","2.241","3.748","3.314","0.077","3.391","0.233","1.217","0.678","1.516","1.45","4.907","6.356","2.957","7.147","10.104","4.147","4.147","1.446","0.244","1.69","5.837","0.208","1.442","1.65","0.038","0.24","0.279","0.048","0.526","0.574","0.135","1.754","1.89","0.092","2.448","2.54"
"CAD150","2002.0","122.898","1.949","2.457","4.406","3.132","0.078","3.21","0.206","1.217","0.678","1.516","1.423","4.726","6.15","3.373","7.183","10.556","4.314","4.314","1.472","0.227","1.699","6.013","0.19","1.611","1.801","0.038","0.256","0.293","0.05","0.537","0.588","0.146","1.559","1.705","0.092","2.609","2.701"
"CAD150","2003.0","130.777","2.982","2.587","5.569","2.896","0.081","2.977","0.204","1.539","0.894","1.596","1.743","4.573","6.316","4.725","7.16","11.885","4.563","4.563","1.391","0.201","1.592","6.155","0.147","1.635","1.782","0.035","0.271","0.305","0.052","0.531","0.583","0.148","1.649","1.797","0.092","2.783","2.875"
"CAD150","2004.0","147.179","2.577","2.43","5.008","2.614","0.092","2.706","0.207","1.39","0.792","1.496","1.597","4.202","5.799","4.174","6.632","10.807","4.739","4.739","1.516","0.227","1.743","6.482","0.214","2.094","2.308","0.043","0.332","0.375","0.056","0.788","0.844","0.139","1.544","1.683","0.062","3.589","3.651"
"CAD150","2005.0","91.958","1.693","1.967","3.66","3.342","0.061","3.403","0.247","1.42","0.886","1.415","1.667","4.818","6.484","3.36","6.785","10.144","3.895","3.895","1.654","0.249","1.903","5.798","0.106","1.394","1.5","0.03","0.26","0.29","0.045","0.613","0.658","0.141","1.413","1.555","0.038","2.231","2.269"
"CAD150","2006.0","112.322","2.142","1.85","3.992","2.859","0.069","2.928","0.189","1.242","0.757","1.248","1.431","4.176","5.607","3.573","6.026","9.599","3.547","3.547","1.438","0.213","1.651","5.199","0.181","1.777","1.959","0.04","0.285","0.325","0.047","0.47","0.517","0.159","1.604","1.763","0.055","2.967","3.022"
"CAD150","2007.0","140.784","1.705","1.992","3.696","2.603","0.072","2.675","0.214","1.178","0.623","1.217","1.393","3.893","5.285","3.097","5.884","8.982","3.687","3.687","1.245","0.215","1.459","5.146","0.161","1.478","1.639","0.038","0.27","0.308","0.048","0.683","0.731","0.147","1.265","1.412","0.047","2.487","2.533"
"CAD150","2008.0","165.416","1.792","2.044","3.835","2.25","0.104","2.354","0.209","1.299","0.725","1.151","1.508","3.505","5.013","3.299","5.549","8.848","3.964","3.964","1.012","0.225","1.237","5.201","0.245","2.337","2.582","0.047","0.437","0.484","0.056","1.124","1.18","0.146","2.502","2.649","0.092","3.801","3.893"
"CAD150","2009.0","218.957","2.409","2.143","4.552","1.618","0.093","1.711","0.188","1.368","0.788","1.141","1.555","2.852","4.408","3.964","4.995","8.96","4.263","4.263","0.912","0.171","1.083","5.346","0.172","2.057","2.229","0.035","0.372","0.407","0.055","0.922","0.977","0.13","1.99","2.12","0.08","3.391","3.471"
"CAD150","2010.0","82.482","1.275","1.508","2.783","2.068","0.074","2.142","0.18","1.336","0.797","1.017","1.516","3.159","4.675","2.791","4.667","7.458","2.53","2.53","0.956","0.173","1.13","3.66","0.159","1.156","1.315","0.037","0.238","0.275","0.052","0.382","0.434","0.162","1.691","1.853","0.043","1.946","1.989"
"CAD150","2011.0","144.204","3.395","2.354","5.749","2.235","0.113","2.347","0.205","1.391","0.814","0.962","1.596","3.309","4.905","4.991","5.663","10.654","4.505","4.505","0.834","0.195","1.029","5.534","0.245","2.448","2.693","0.044","0.484","0.528","0.056","0.84","0.896","0.167","3.045","3.213","0.094","3.9","3.994"
"CAD150","2012.0","101.716","1.347","1.465","2.813","2.155","0.109","2.264","0.207","1.439","0.929","0.965","1.647","3.229","4.876","2.994","4.695","7.688","2.437","2.437","0.841","0.19","1.031","3.468","0.205","1.335","1.54","0.044","0.265","0.31","0.056","0.785","0.841","0.199","1.295","1.494","0.063","2.314","2.377"
"CAD150","2013.0","132.359","1.954","1.832","3.786","1.794","0.078","1.872","0.17","1.369","0.862","0.935","1.538","2.807","4.345","3.492","4.639","8.131","3.185","3.185","0.78","0.156","0.936","4.121","0.15","1.737","1.887","0.033","0.334","0.368","0.048","0.644","0.692","0.138","2.178","2.316","0.045","2.925","2.971"
"CAD150","2014.0","123.825","1.982","1.874","3.856","1.596","0.087","1.683","0.164","1.457","0.918","1.008","1.621","2.691","4.312","3.603","4.565","8.168","3.068","3.068","0.744","0.153","0.897","3.966","0.171","1.541","1.711","0.039","0.341","0.379","0.05","0.694","0.743","0.177","1.755","1.932","0.066","2.551","2.617"
"CAD150","2015.0","179.019","1.972","1.893","3.865","1.536","0.086","1.623","0.148","1.508","0.964","0.913","1.656","2.536","4.192","3.629","4.429","8.057","3.087","3.087","0.723","0.14","0.863","3.95","0.175","2.376","2.551","0.043","0.482","0.525","0.047","1.249","1.296","0.165","1.554","1.719","0.102","4.144","4.247"
"CAD150","2016.0","158.648","1.992","1.991","3.983","1.361","0.087","1.448","0.157","1.665","1.119","0.931","1.822","2.379","4.201","3.814","4.37","8.184","3.023","3.023","0.623","0.128","0.751","3.774","0.157","1.682","1.839","0.034","0.368","0.402","0.046","1.311","1.357","0.153","1.793","1.946","0.066","2.932","2.997"
"CAD150","2017.0","118.186","1.883","1.578","3.461","1.406","0.089","1.495","0.173","1.755","1.167","0.793","1.928","2.288","4.216","3.811","3.866","7.677","2.366","2.366","0.746","0.135","0.882","3.248","0.185","1.475","1.66","0.039","0.3","0.338","0.052","0.79","0.842","0.169","1.533","1.702","0.074","2.566","2.64"
"CAD150","2018.0","187.875","2.122","2.067","4.189","1.354","0.096","1.451","0.149","1.755","1.167","0.793","1.904","2.244","4.148","4.026","4.311","8.337","3.038","3.038","0.525","0.115","0.641","3.678","0.161","2.051","2.212","0.037","0.395","0.432","0.048","1.053","1.101","0.148","1.863","2.011","0.053","3.482","3.535"
"CAD150","2019.0","172.933","2.102","2.065","4.166","1.196","0.081","1.277","0.146","1.755","1.167","0.793","1.901","2.07","3.971","4.003","4.135","8.137","3.173","3.173","0.422","0.11","0.532","3.706","0.14","1.893","2.032","0.031","0.464","0.496","0.043","1.751","1.794","0.119","2.356","2.475","0.051","3.269","3.32"
"CAD150","2020.0","194.463","2.387","2.343","4.73","1.06","0.084","1.144","0.12","1.755","1.167","0.793","1.875","1.937","3.812","4.262","4.28","8.542","2.944","2.944","0.343","0.098","0.441","3.385","0.164","2.704","2.867","0.041","0.541","0.581","0.05","1.871","1.921","0.159","2.645","2.804","0.103","4.423","4.526"
"GRC474","2001.0","38.441","0.517","0.896","1.413","2.3","0.111","2.411","0.133","0.559","0.298","0.389","0.691","2.8","3.491","1.208","3.696","4.904","0.689","0.689","0.265","0.104","0.37","1.058","0.108","0.196","0.304","0.033","0.142","0.175","0.032","0.062","0.093","0.217","0.853","1.071","0.044","0.338","0.382"
"GRC474","2002.0","17.767","0.434","0.507","0.941","2.472","0.119","2.591","0.104","0.559","0.298","0.389","0.662","2.98","3.643","1.096","3.487","4.583","0.393","0.393","0.285","0.082","0.367","0.761","0.123","0.151","0.274","0.038","0.105","0.142","0.038","0.046","0.084","0.244","0.741","0.985","0.044","0.263","0.306"
"GRC474","2003.0","25.527","0.381","0.665","1.046","2.22","0.122","2.342","0.107","0.61","0.33","0.396","0.717","2.738","3.454","1.098","3.403","4.5","0.383","0.383","0.304","0.078","0.382","0.764","0.12","0.13","0.251","0.046","0.138","0.184","0.059","0.054","0.113","0.258","0.758","1.016","0.044","0.207","0.25"
"GRC474","2004.0","47.049","0.783","0.93","1.712","2.188","0.1","2.288","0.102","0.588","0.32","0.378","0.69","2.665","3.355","1.472","3.595","5.067","0.906","0.906","0.282","0.086","0.367","1.273","0.104","0.236","0.34","0.03","0.154","0.183","0.03","0.141","0.171","0.18","1.542","1.722","0.04","0.411","0.45"
"GRC474","2005.0","44.124","0.583","0.65","1.233","2.108","0.078","2.186","0.1","0.603","0.328","0.389","0.703","2.575","3.278","1.286","3.225","4.511","0.679","0.679","0.327","0.084","0.411","1.09","0.087","0.194","0.281","0.031","0.115","0.146","0.038","0.071","0.109","0.18","0.676","0.855","0.034","0.3","0.334"
"GRC474","2006.0","32.345","0.669","0.773","1.442","2.065","0.099","2.164","0.098","0.766","0.47","0.419","0.864","2.583","3.447","1.533","3.356","4.889","0.633","0.633","0.262","0.079","0.341","0.974","0.096","0.21","0.306","0.039","0.165","0.204","0.038","0.062","0.099","0.212","0.9","1.112","0.033","0.365","0.398"
"GRC474","2007.0","28.47","0.387","0.53","0.917","2.104","0.125","2.229","0.129","0.807","0.497","0.394","0.936","2.624","3.56","1.324","3.153","4.477","0.365","0.365","0.264","0.093","0.357","0.722","0.123","0.142","0.265","0.047","0.108","0.155","0.039","0.034","0.073","0.254","0.553","0.806","0.045","0.234","0.278"
"GRC474","2008.0","42.786","0.585","0.587","1.173","1.63","0.106","1.735","0.117","0.736","0.454","0.329","0.853","2.064","2.917","1.438","2.651","4.09","0.489","0.489","0.202","0.087","0.289","0.778","0.135","0.24","0.375","0.043","0.15","0.193","0.037","0.056","0.093","0.291","0.929","1.22","0.057","0.36","0.417"
"GRC474","2009.0","23.948","0.445","0.463","0.908","1.437","0.107","1.544","0.119","0.712","0.438","0.321","0.831","1.865","2.696","1.275","2.328","3.603","0.397","0.397","0.172","0.079","0.251","0.647","0.122","0.194","0.317","0.038","0.134","0.172","0.044","0.043","0.087","0.229","0.692","0.921","0.049","0.297","0.347"
"GRC474","2010.0","67.764","1.484","1.451","2.935","1.247","0.105","1.352","0.116","0.651","0.379","0.291","0.768","1.644","2.411","2.252","3.095","5.346","1.193","1.193","0.18","0.081","0.261","1.455","0.128","0.569","0.697","0.036","0.447","0.483","0.041","0.176","0.217","0.213","2.405","2.618","0.067","0.901","0.968"
"GRC474","2011.0","39.089","0.547","0.574","1.121","1.015","0.084","1.099","0.097","0.668","0.402","0.281","0.765","1.381","2.146","1.312","1.954","3.267","0.513","0.513","0.126","0.064","0.19","0.703","0.103","0.309","0.412","0.031","0.188","0.219","0.031","0.102","0.132","0.192","1.134","1.326","0.049","0.461","0.511"
"GRC474","2012.0","41.026","0.698","0.683","1.381","1.028","0.072","1.099","0.096","0.691","0.42","0.28","0.787","1.379","2.166","1.485","2.062","3.547","0.439","0.439","0.135","0.062","0.197","0.636","0.081","0.259","0.339","0.029","0.197","0.226","0.026","0.09","0.116","0.181","1.051","1.232","0.048","0.423","0.47"
"GRC474","2013.0","36.68","0.713","0.664","1.377","1.358","0.094","1.453","0.135","0.788","0.518","0.3","0.923","1.753","2.676","1.636","2.417","4.053","0.458","0.458","0.18","0.083","0.263","0.721","0.12","0.154","0.274","0.036","0.132","0.168","0.035","0.048","0.082","0.217","0.665","0.882","0.07","0.246","0.316"
"GRC474","2014.0","28.499","0.536","0.519","1.055","1.308","0.096","1.404","0.113","0.812","0.542","0.293","0.925","1.697","2.622","1.461","2.216","3.677","0.322","0.322","0.173","0.075","0.248","0.569","0.133","0.177","0.309","0.039","0.128","0.167","0.033","0.037","0.07","0.266","0.624","0.89","0.059","0.308","0.366"
"GRC474","2015.0","55.067","1.024","0.803","1.827","1.161","0.082","1.243","0.1","0.765","0.471","0.274","0.865","1.517","2.381","1.889","2.32","4.209","0.682","0.682","0.216","0.071","0.288","0.969","0.11","0.399","0.509","0.03","0.168","0.198","0.025","0.138","0.163","0.195","1.361","1.556","0.048","0.654","0.702"
"GRC474","2016.0","43.761","0.735","0.592","1.326","1.144","0.101","1.246","0.116","0.868","0.608","0.248","0.984","1.494","2.478","1.719","2.086","3.805","0.399","0.399","0.228","0.074","0.302","0.701","0.134","0.219","0.353","0.039","0.193","0.231","0.036","0.088","0.124","0.269","1.029","1.298","0.076","0.39","0.466"
"GRC474","2017.0","29.921","0.644","0.501","1.145","1.269","0.085","1.353","0.122","0.864","0.561","0.258","0.986","1.611","2.597","1.63","2.112","3.742","0.329","0.329","0.2","0.075","0.275","0.604","0.101","0.123","0.224","0.035","0.141","0.176","0.036","0.054","0.089","0.226","0.585","0.811","0.057","0.24","0.296"
"GRC474","2018.0","36.982","0.687","0.582","1.269","1.238","0.11","1.349","0.113","0.864","0.561","0.258","0.977","1.606","2.583","1.664","2.188","3.852","0.344","0.344","0.152","0.069","0.221","0.565","0.139","0.336","0.475","0.045","0.133","0.178","0.042","0.059","0.101","0.289","0.678","0.967","0.078","0.54","0.617"
"GRC474","2019.0","60.36","0.586","0.514","1.101","1.158","0.084","1.242","0.105","0.864","0.561","0.258","0.968","1.5","2.468","1.555","2.014","3.569","0.342","0.342","0.133","0.066","0.199","0.541","0.107","0.223","0.33","0.033","0.193","0.226","0.032","0.259","0.291","0.19","0.869","1.059","0.056","0.501","0.557"
"GRC474","2020.0","18.436","0.348","0.228","0.576","1.229","0.09","1.319","0.118","0.864","0.561","0.258","0.982","1.576","2.558","1.33","1.804","3.133","0.154","0.154","0.139","0.071","0.21","0.364","0.114","0.098","0.212","0.041","0.059","0.1","0.049","0.024","0.073","0.268","0.293","0.562","0.064","0.17","0.234"
"PET427","2001.0","21.542","0.377","0.549","0.926","0.785","0.063","0.849","0.062","0.108","-0.058","0.194","0.171","1.042","1.213","0.548","1.591","2.139","0.589","0.589","0.438","0.051","0.489","1.078","0.07","0.14","0.21","0.023","0.051","0.075","0.025","0.067","0.093","0.167","0.538","0.705","0.027","0.246","0.273"
"PET427","2002.0","21.165","0.535","0.584","1.119","0.887","0.073","0.959","0.053","0.108","-0.058","0.194","0.161","1.153","1.314","0.696","1.737","2.433","0.548","0.548","0.426","0.043","0.468","1.016","0.071","0.163","0.234","0.026","0.068","0.094","0.029","0.062","0.091","0.192","0.714","0.906","0.027","0.271","0.298"
"PET427","2003.0","8.979","0.217","0.263","0.48","1.212","0.082","1.295","0.056","0.097","-0.082","0.205","0.154","1.499","1.653","0.371","1.762","2.133","0.227","0.227","0.531","0.043","0.574","0.801","0.064","0.048","0.112","0.027","0.036","0.063","0.032","0.025","0.057","0.229","0.382","0.611","0.027","0.081","0.108"
"PET427","2004.0","25.17","0.718","0.795","1.513","1.02","0.081","1.101","0.058","0.094","-0.063","0.191","0.153","1.292","1.445","0.871","2.087","2.958","0.896","0.896","0.509","0.046","0.556","1.451","0.067","0.148","0.214","0.022","0.11","0.131","0.023","0.076","0.099","0.183","1.705","1.888","0.034","0.222","0.256"
"PET427","2005.0","24.825","0.695","0.609","1.303","1.06","0.066","1.126","0.062","0.116","-0.05","0.195","0.178","1.321","1.499","0.873","1.929","2.802","0.7","0.7","0.503","0.051","0.554","1.254","0.066","0.11","0.176","0.026","0.075","0.101","0.032","0.082","0.114","0.199","1.148","1.348","0.026","0.178","0.204"
"PET427","2006.0","15.095","0.761","0.751","1.512","1.035","0.068","1.104","0.056","0.11","-0.061","0.18","0.166","1.284","1.45","0.927","2.035","2.962","0.776","0.776","0.529","0.044","0.573","1.349","0.063","0.14","0.203","0.027","0.096","0.124","0.028","0.105","0.133","0.177","1.529","1.706","0.027","0.266","0.293"
"PET427","2007.0","22.72","0.451","0.49","0.941","0.925","0.078","1.003","0.067","0.109","-0.07","0.175","0.176","1.177","1.353","0.627","1.668","2.294","0.46","0.46","0.551","0.049","0.6","1.06","0.074","0.156","0.23","0.03","0.065","0.095","0.028","0.056","0.084","0.187","0.557","0.744","0.034","0.261","0.296"
"PET427","2008.0","16.904","0.249","0.377","0.626","0.797","0.069","0.866","0.065","0.11","-0.044","0.16","0.175","1.026","1.201","0.424","1.402","1.827","0.31","0.31","0.398","0.047","0.445","0.756","0.081","0.097","0.178","0.024","0.045","0.069","0.024","0.039","0.063","0.195","0.65","0.846","0.045","0.166","0.211"
"PET427","2009.0","13.999","0.379","0.367","0.746","0.669","0.079","0.748","0.064","0.114","-0.041","0.146","0.178","0.894","1.072","0.557","1.262","1.819","0.458","0.458","0.264","0.046","0.31","0.769","0.076","0.563","0.639","0.026","0.18","0.206","0.036","0.3","0.336","0.225","3.896","4.12","0.035","0.686","0.721"
"PET427","2010.0","29.159","0.751","0.642","1.393","0.644","0.075","0.719","0.065","0.109","-0.047","0.142","0.173","0.861","1.034","0.924","1.503","2.427","0.653","0.653","0.272","0.047","0.319","0.972","0.08","0.238","0.317","0.026","0.081","0.107","0.029","0.141","0.169","0.214","1.245","1.459","0.05","0.35","0.4"
"PET427","2011.0","20.708","0.814","0.86","1.674","0.729","0.081","0.81","0.067","0.118","-0.037","0.142","0.184","0.952","1.136","0.998","1.812","2.81","0.771","0.771","0.267","0.05","0.317","1.088","0.088","0.264","0.352","0.029","0.143","0.172","0.032","0.145","0.177","0.222","1.861","2.084","0.043","0.401","0.444"
"PET427","2012.0","20.491","0.609","0.541","1.151","0.724","0.061","0.785","0.065","0.118","-0.054","0.143","0.183","0.928","1.11","0.792","1.469","2.261","0.479","0.479","0.229","0.046","0.276","0.755","0.062","0.176","0.238","0.023","0.075","0.099","0.023","0.087","0.11","0.191","1.21","1.401","0.035","0.269","0.304"
"PET427","2013.0","19.681","0.437","0.381","0.818","0.694","0.061","0.756","0.067","0.131","-0.021","0.141","0.199","0.897","1.095","0.636","1.278","1.913","0.292","0.292","0.184","0.043","0.227","0.519","0.067","0.097","0.164","0.021","0.047","0.067","0.02","0.049","0.069","0.165","0.678","0.843","0.037","0.181","0.218"
"PET427","2014.0","22.022","0.342","0.268","0.61","0.622","0.072","0.693","0.067","0.118","-0.032","0.136","0.185","0.83","1.015","0.527","1.098","1.625","0.262","0.262","0.158","0.044","0.202","0.463","0.08","0.08","0.16","0.024","0.036","0.06","0.022","0.048","0.07","0.233","0.406","0.638","0.041","0.139","0.18"
"PET427","2015.0","33.3","0.732","0.618","1.349","0.524","0.051","0.575","0.059","0.147","-0.004","0.13","0.206","0.705","0.912","0.938","1.323","2.261","0.588","0.588","0.189","0.041","0.23","0.818","0.065","0.383","0.448","0.017","0.081","0.098","0.017","0.203","0.22","0.125","0.786","0.911","0.032","0.603","0.634"
"PET427","2016.0","21.209","0.534","0.352","0.886","0.52","0.06","0.58","0.061","0.146","-0.006","0.119","0.207","0.7","0.907","0.741","1.051","1.792","0.275","0.275","0.163","0.039","0.202","0.478","0.078","0.21","0.288","0.021","0.05","0.071","0.021","0.202","0.223","0.203","0.66","0.863","0.048","0.362","0.41"
"PET427","2017.0","13.107","0.544","0.411","0.954","0.495","0.046","0.54","0.057","0.141","-0.022","0.119","0.198","0.659","0.857","0.742","1.07","1.812","0.351","0.351","0.144","0.037","0.181","0.532","0.059","0.254","0.313","0.021","0.086","0.106","0.025","0.074","0.098","0.214","1.538","1.751","0.033","0.36","0.393"
"PET427","2018.0","20.568","0.548","0.393","0.94","0.576","0.066","0.642","0.052","0.141","-0.022","0.119","0.193","0.761","0.955","0.741","1.154","1.895","0.248","0.248","0.106","0.033","0.14","0.388","0.069","0.131","0.2","0.023","0.082","0.105","0.025","0.109","0.134","0.251","1.717","1.967","0.042","0.195","0.237"
"PET427","2019.0","22.429","0.266","0.169","0.435","0.544","0.057","0.601","0.049","0.141","-0.022","0.119","0.19","0.72","0.911","0.457","0.889","1.346","0.13","0.13","0.096","0.032","0.127","0.257","0.066","0.094","0.16","0.02","0.037","0.057","0.023","0.032","0.055","0.148","0.453","0.601","0.035","0.159","0.194"
"PET427","2020.0","18.598","0.511","0.257","0.768","0.598","0.056","0.654","0.054","0.141","-0.022","0.119","0.195","0.773","0.969","0.707","1.03","1.737","0.187","0.187","0.106","0.034","0.141","0.328","0.062","0.116","0.178","0.023","0.047","0.071","0.035","0.06","0.095","0.189","0.509","0.698","0.038","0.202","0.24"
"CHA467","2006.0","45.332","1.487","1.455","2.942","1.403","0.168","1.571","0.14","0.407","0.225","0.189","0.547","1.76","2.307","2.034","3.215","5.249","1.416","1.416","0.346","0.133","0.479","1.895","0.231","0.593","0.823","0.065","0.185","0.25","0.079","0.181","0.259","0.423","2.382","2.806","0.133","1.039","1.172"
"CHA467","2007.0","41.909","1.265","1.071","2.336","1.29","0.151","1.441","0.15","0.408","0.222","0.18","0.558","1.621","2.179","1.823","2.692","4.515","0.953","0.953","0.328","0.134","0.463","1.416","0.176","0.27","0.446","0.057","0.084","0.141","0.065","0.172","0.237","0.361","0.901","1.262","0.093","0.48","0.573"
"CHA467","2008.0","37.264","0.693","0.708","1.401","1.097","0.165","1.261","0.162","0.384","0.222","0.177","0.545","1.438","1.984","1.238","2.146","3.384","0.549","0.549","0.282","0.148","0.429","0.978","0.283","0.205","0.488","0.072","0.057","0.129","0.084","0.087","0.171","0.486","0.649","1.135","0.228","0.349","0.577"
