,Year,State,Tax,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE,PRECIP,N_WET_NH4,N_WET_NO3,N_WET,N_DRY_HNO3,N_DRY_NO3,N_DRY_TNO3,N_DRY_NH4,N_DRY_NH3,N_DRY_NH3NET,N_DRY_NOM,N_DRY_NRED,N_DRY_NOXI,N_DRY,S_WET_SO4,S_WET,S_DRY_SO2,S_DRY_SO4,S_DRY,NA_DRY,NA_WET,MG_DRY,MG_WET,K_DRY,K_WET,CA_DRY,CA_WET,CL_DRY,CL_WET
10,2001,IN,10115870.0,6490432,3193102,3297330,2783184,2858216,290433,314817,12675,11841,51925,55327,1780,1757,53105,55372,2833009,2909996,320563,346842,28709,28748,63606,67261,3724,3785,2987399,3111585,2600568,2694649,281120,305239,7104,7175,50561,54053,941,1011,47105,49458,2644869,2740971,308123,334155,20267,21311,61297,64951,2531,2713,205703,185745,182616,163567,9313,9578,5571,4666,1364,1274,839,746,6000,5914,188140,169025,12440,12687,8442,7437,2309,2310,1193,1072,105.434,2.6870000000000003,2.9690000000000003,5.6555,3.044,0.3335,3.377,0.313,1.173,-1.2109999999999999,1.4849999999999999,1.486,4.8625,6.348000000000001,5.7705,5.7705,7.782500000000001,0.1905,7.9735,0.131,0.5795,0.095,0.27549999999999997,0.0645,0.454,0.601,1.806,0.1245,1.1675
11,2001,KS,4986955.0,2858190,1418108,1440082,1240965,1263364,88847,85011,16713,16420,33726,36452,1535,1330,36322,37505,1274568,1298018,105566,102426,32444,32882,41634,44435,2820,2675,1260619,1295424,1100214,1134793,83897,80115,11463,11721,32745,35489,1081,950,31219,32356,1129237,1164809,98321,95086,24375,25459,39744,42588,2116,2043,157489,144658,140751,128571,4950,4896,5250,4699,981,963,454,380,5103,5149,145331,133209,7245,7340,8069,7423,1890,1847,704,632,100.82300000000001,3.6189999999999998,3.1254999999999997,6.744999999999999,1.949,0.2225,2.1715,0.318,1.012,-1.5695000000000001,0.762,1.33,2.9335,4.263,4.366,4.366,1.327,0.1395,1.4655,0.11599999999999999,0.6935,0.066,0.2995,0.07050000000000001,0.317,0.463,4.619,0.079,0.9544999999999999
12,2001,KY,7850908.0,4348181,2139425,2208756,1903419,1966562,170703,173794,6447,5723,23824,26965,1760,1450,33272,34262,1934778,1998784,189490,193487,17177,16923,30207,33399,3030,2738,2064593,2149411,1838992,1915756,166247,170057,4456,4294,23187,26403,1114,1024,30597,31877,1867925,1945831,183719,188537,13919,14362,29027,32341,2179,2133,74832,59345,64427,50806,4456,3737,1991,1429,637,562,646,426,2675,2385,66853,52953,5771,4950,3258,2561,1180,1058,851,605,108.5174,2.0966,2.6574,4.7538,5.5001999999999995,0.1992,5.6994,0.36719999999999997,0.8231999999999999,-0.12080000000000002,1.4247999999999998,1.1905999999999999,7.124600000000001,8.315000000000001,5.6326,5.6326,8.748000000000001,0.3356,9.0836,0.11699999999999999,0.5923999999999999,0.0378,0.1618,0.041600000000000005,0.1908,0.22039999999999998,1.1698,0.1018,1.1858
13,2001,MD,10785695.0,5788645,2799911,2988734,1747482,1798342,809748,927900,16163,14834,156577,173158,2844,2595,67097,71905,1804251,1857887,847935,971374,34970,35945,180680,197797,5813,5885,2550898,2762335,1547593,1619023,784337,902108,6821,7270,153874,170473,1243,1359,57030,62102,1595584,1670080,816637,939582,21199,24162,175691,192848,3758,4168,249013,226399,199889,179319,25411,25792,9342,7564,2703,2685,1601,1236,10067,9803,208667,187807,31298,31792,13771,11783,4989,4949,2055,1717,96.7415,2.018,2.777,4.795,6.101,0.4,6.5009999999999994,0.506,0.63,-0.14800000000000002,2.7945,1.1364999999999998,9.2955,10.432,6.202999999999999,6.202999999999999,9.191,0.55,9.741,0.6595,2.621,0.122,0.34850000000000003,0.092,0.221,0.35450000000000004,0.757,0.3415,5.0285
14,2001,ME,2668938.0,1327629,649691,677938,620282,648455,9201,7227,4353,4422,6015,7834,202,172,9638,9828,629645,658025,12128,10195,9239,9448,8383,10209,509,503,641148,669477,613173,641254,8739,6883,4078,4191,5918,7724,166,149,9074,9276,622001,650304,11392,9591,8706,8936,8161,9989,433,429,8543,8461,7109,7201,462,344,275,231,97,110,36,23,564,552,7644,7721,736,604,533,512,222,220,76,74,65.1532,0.6878,1.3106,1.9988,1.5058,0.1092,1.6150000000000002,0.1486,0.279,0.0872,0.4446,0.4276,2.0591999999999997,2.4867999999999997,2.1742,2.1742,1.3692,0.3674,1.737,0.3938,1.2026,0.058399999999999994,0.1488,0.0812,0.087,0.118,0.42940000000000006,0.26080000000000003,2.1874
15,2001,MI,22263902.0,9877510,4845176,5032334,3919089,4022849,671956,742799,34307,34220,118484,126191,1723,1738,99617,104537,4010667,4118183,721393,796479,71840,75517,143310,150403,4995,5080,4622593,4817045,3729266,3841473,658422,728339,27353,27625,116834,124498,1118,1138,89600,93972,3811688,3927150,702564,776407,59940,63544,140093,147116,3977,3999,222583,215289,189823,181376,13534,14460,6954,6595,1650,1693,605,600,10017,10565,198979,191033,18829,20072,11900,11973,3217,3287,1018,1081,87.55733333333335,3.031333333333333,3.534333333333333,6.565666666666666,3.856,0.3293333333333333,4.185666666666666,0.36199999999999993,1.2386666666666668,-0.35700000000000004,1.2156666666666667,1.6006666666666665,5.401,7.001666666666666,5.190333333333333,5.190333333333333,4.175666666666666,0.226,4.401333333333333,0.11366666666666668,0.48,0.079,0.31866666666666665,0.04700000000000001,0.14333333333333334,0.385,1.7526666666666666,0.085,0.977
16,2001,MN,13534585.0,5310828,2635585,2675243,2293985,2331368,144021,138770,33967,33788,106749,112920,1517,1471,55346,56926,2345121,2383732,170348,166027,54142,55295,122581,128632,3480,3411,2503138,2556081,2181274,2230507,138862,133915,27602,28170,105340,111621,998,1006,49062,50862,2226649,2277329,162079,158142,44481,46442,120145,126285,2642,2678,132447,119162,112711,100861,5159,4855,6365,5618,1409,1299,519,465,6284,6064,118472,106403,8269,7885,9661,8853,2436,2347,838,733,79.816,2.0745,1.7135,3.7885,1.028,0.0785,1.1055,0.10400000000000001,1.316,0.991,0.34099999999999997,1.42,1.447,2.867,1.863,1.863,0.749,0.07300000000000001,0.8215,0.0485,0.174,0.0275,0.22899999999999998,0.028,0.2025,0.1315,1.5515,0.028,0.3365
17,2001,MS,4749481.0,2970548,1443209,1527339,885537,904711,520861,584150,8534,8304,12642,14067,933,761,14702,15346,898146,917647,529182,593118,14036,14052,15886,17554,1735,1538,1395145,1493373,846291,877864,516256,580210,6765,7157,12256,13760,490,477,13087,13905,857596,889661,523706,588372,11493,12209,15108,16880,1096,1107,48064,33966,39246,26847,4605,3940,1769,1147,386,307,443,284,1615,1441,40550,27986,5476,4746,2543,1843,778,674,639,431,164.363,1.624,2.363,3.987,3.623,0.15,3.773,0.268,0.656,-0.193,1.368,0.924,5.141,6.065,4.267,4.267,3.133,0.287,3.42,0.219,2.138,0.044,0.298,0.059,0.547,0.178,1.078,0.136,3.877
18,2001,MT,1495810.0,990697,497234,493463,448325,443926,2735,1517,31552,32183,2588,3956,404,333,11630,11548,459448,455006,4770,3447,39572,40256,4770,6068,959,851,482616,479213,437009,432954,2496,1309,29785,30355,2490,3834,341,276,10495,10485,447090,443047,4254,3005,37002,37674,4459,5734,815,729,14618,14250,11316,10972,239,208,1767,1828,98,122,63,57,1135,1063,12358,11959,516,442,2570,2582,311,334,144,122,57.437,0.525,0.591,1.116,0.767,0.056,0.823,0.078,0.349,0.155,0.394,0.427,1.217,1.644,0.521,0.521,0.163,0.059,0.222,0.037,0.16,0.028,0.053,0.046,0.107,0.157,0.391,0.021,0.196
19,2001,NC,15599964.0,9574323,4670070,4904253,3415549,3508266,983608,1112675,74121,73904,105070,113636,5481,4909,86241,90863,3490181,3585709,1032413,1165693,105721,108354,126193,135482,9236,8849,4239063,4528823,3056464,3199119,952251,1082037,53182,56567,101560,110559,2801,2711,72805,77830,3119418,3265381,993741,1127506,78349,84976,120117,129895,5744,5891,431007,375430,359085,309147,31357,30638,20939,17337,3510,3077,2680,2198,13436,13033,370763,320328,38672,38187,27372,23378,6076,5587,3492,2958,116.28020000000001,1.5063333333333333,1.9556666666666667,3.4619999999999997,4.1339999999999995,0.211,4.3453333333333335,0.4026666666666667,0.8956666666666667,0.4905,1.3215000000000001,1.2985,5.6665,6.965,4.567833333333334,4.567833333333334,4.586333333333333,0.5208333333333334,5.1075,0.5796666666666667,1.8443333333333334,0.09433333333333334,0.24933333333333332,0.08016666666666666,0.2165,0.31983333333333336,0.6175,0.5326666666666667,3.4615000000000005
