,CAN10_1,CAN11_1,CAN5_1,CAN6_1,CAN7_1,CAN8_1,CAN9_1,Year,State
1,14.342899181942142,140.8078506672755,138.3035672289785,9.944254338741302,47.8794033754617,71.33639871453245,23.937588181346655,2020,AL
2,14.282553466161088,141.52548463493585,138.74399198596365,10.168702149391175,48.19588478766382,70.77084974733492,23.625559849292042,2021,AL
3,14.215727283464119,142.17560120411216,139.1729203651504,10.387069439888,48.500011031702165,70.20189844829342,23.34451880678535,2022,AL
4,14.145401100410762,142.86966776456683,139.5969478017495,10.60489717721939,48.80445781871677,69.63361591709159,23.056646149605516,2023,AL
5,14.072078143417205,143.5609385959804,140.01810459828312,10.820990717411041,49.10551811419428,69.06363915863139,22.7553490318358,2024,AL
6,13.99679249251881,144.26455325782297,140.43625376732086,11.036361718177794,49.40594659708441,68.49363171992205,22.44673786684871,2025,AL
8,15.75717556942254,135.4848979121074,137.09617511412748,9.876815408468246,50.23026359006762,86.9178701164822,26.208742224052553,2020,AR
9,15.77189064342528,136.67060350999236,138.0142133932871,10.014255172014236,50.925145455449815,87.00489822849636,26.698508390970535,2021,AR
10,15.79471307191997,137.8561781118624,138.93219362003725,10.151683992147445,51.63513153865933,87.10435372764871,27.18824948444963,2022,AR
11,15.821611370953411,139.04176009288057,139.85018053672582,10.289114278554916,52.35549410954117,87.2002624052267,27.6779947930947,2023,AR
12,15.852239081077267,140.22727596275507,140.768137067339,10.426551610231398,53.081744859367596,87.30324263001489,28.16772699393333,2024,AR
13,15.884481873052803,141.41279163900762,141.68609566120423,10.56399335861206,53.812218715995535,87.40380758394807,28.657460744865247,2025,AR
15,10.175703425146635,92.86735429819673,129.9042517468954,6.8016959726810455,35.65170713961125,50.190578867401946,31.1323239158839,2020,AZ
16,10.151169197571768,94.64725906755775,130.75643558536342,6.9524731695652005,35.81489971727133,49.900847394578186,31.623489409126346,2021,AZ
17,10.126611205997559,96.42718010116369,131.60926050124687,7.103249633312225,35.9780908536166,49.611120521867065,32.11465502474458,2022,AZ
18,10.102024105501663,98.20666509810836,132.46143189767992,7.254025018215179,36.141279760003094,49.321359307101666,32.605820436403164,2023,AZ
19,10.077407873483985,99.98579641226681,133.31317137105694,7.404799598455429,36.30446700751782,49.03156345194832,33.096985644102105,2024,AZ
20,10.05276325009762,101.76454994846138,134.16440651998846,7.555573403835297,36.46765263695271,48.74173028583955,33.58815066143871,2025,AZ
